Name,StatusClass,DataValue,DataTimeStamp
"AIRLOCK000049",24,"756.361489654525",1295.25013888889
"AIRLOCK000049",24,"756.996001582328",1295.25041666667
"AIRLOCK000049",24,"756.361489654525",1295.25069444444
"AIRLOCK000049",24,"756.361489654525",1295.25069444444
"AIRLOCK000049",24,"756.361489654525",1295.25208333333
"AIRLOCK000049",24,"756.996001582328",1295.25319444444
"AIRLOCK000049",24,"756.996001582328",1295.25319444444
"AIRLOCK000049",24,"756.361489654525",1295.25375
"AIRLOCK000049",24,"756.996001582328",1295.25402777778
"AIRLOCK000049",24,"756.996001582328",1295.25125
"AIRLOCK000049",24,"756.996001582328",1295.25125
"AIRLOCK000049",24,"756.996001582328",1295.25125
"AIRLOCK000049",24,"756.361489654525",1295.25430555556
